census_block_group,Total population,Households total,female_ratio,white_ratio,black_ratio,asian_ratio,Hispanic_ratio,non_Hispanic_white_ratio,non_Hispanic_black_ratio,bachelor_ratio,english_limited_ratio,average_income,median_income,poverty_ratio,median_age,population_young_ratio,population_middle_ratio,population_old_ratio,unemployed_ratio,public_assistance_ratio,disability_household_ratio,no_health_insurance_ratio,single_family_ratio,driving_ratio,public_transit_ratio,average_commuting_time,leave_home_time,average_household_size,children_rate,vehicle_rate,moved_in_5_years_ratio,moved_in_10_years_ratio,foreign_born_ratio,english_limited_population_ratio,enrollment_rate,housing_value,non_couple_parent_children,couple_parent_children,longitude,latitude,average_income_group
40190001001,405,261,0.4222222222222222,0.8271604938271605,0.0444444444444444,0.0,0.1950617283950617,0.671604938271605,0.0444444444444444,0.4554140127388535,0.057471264367816,41015.32567049808,23068.0,0.2340966921119593,40.3,0.0567901234567901,0.6888888888888889,0.254320987654321,0.0240963855421686,0.0651340996168582,0.1685823754789272,0.0325,0.0980392156862745,0.448559670781893,0.1234567901234567,16.356502242152466,9.81390134529148,1.3946360153256705,0.3235294117647059,0.6704980842911877,0.2758620689655172,0.4099616858237548,0.0469135802469135,0.0381679389312977,1.0,,1.0,0.0,-110.96691044166468,32.22138631750301,0.0
40190001002,491,332,0.505091649694501,0.8635437881873728,0.020366598778004,0.0346232179226069,0.2729124236252546,0.6109979633401222,0.010183299389002,0.5120481927710844,0.0,42695.78313253012,40739.0,0.3584521384928716,27.5,0.0610997963340122,0.9042769857433808,0.0346232179226069,0.0162337662337662,0.0,0.1054216867469879,0.0672097759674134,0.0737913486005089,0.7194719471947195,0.0957095709570957,20.56122448979592,8.60204081632653,1.3012048192771084,0.6818181818181818,0.9728915662650602,0.2771084337349397,0.7078313253012049,0.0733197556008146,0.0,0.9047619047619048,,0.3846153846153846,0.6153846153846154,-110.97181957870448,32.22076948579961,0.0
40190002001,1622,965,0.3914919852034525,0.876078914919852,0.0067817509247842,0.0585696670776818,0.5450061652281134,0.37731196054254,0.0067817509247842,0.3790055248618784,0.1336787564766839,43160.62176165803,,0.4580764488286066,28.2,0.2016029593094944,0.6621454993834772,0.1362515413070283,0.1820359281437125,0.0,0.1222797927461139,0.0614203454894433,0.2817460317460317,0.6646795827123696,0.0,16.34007029876977,6.833919156414763,1.6404145077720207,1.0674157303370786,0.9212435233160622,0.3202072538860103,0.6518134715025907,0.1818742293464858,0.0732484076433121,0.7125382262996942,9999.0,1.0,0.0,-110.98308377423426,32.22489101762897,0.0
40190002002,1903,920,0.5964266946925907,0.6784025223331581,0.0089332632685233,0.0168155543878087,0.6726221755123489,0.2138728323699422,0.0089332632685233,0.2748344370860927,0.0989130434782608,35521.739130434784,28295.0,0.4140830267997898,38.3,0.324750394114556,0.4950078822911193,0.1802417235943247,0.05,0.0141304347826086,0.3434782608695652,0.0646347871781397,0.2461059190031152,0.5170454545454546,0.1625,25.738993710691823,9.257232704402517,1.9391304347826088,1.188034188034188,0.8217391304347826,0.1597826086956521,0.4032608695652174,0.1823436678928008,0.1261682242990654,0.7434094903339191,74800.0,1.0,0.0,-110.99342550286627,32.226418826273694,0.0
40190002003,1226,392,0.5831973898858075,0.4143556280587275,0.0122349102773246,0.0,0.8743882544861338,0.1133768352365416,0.0122349102773246,0.1163120567375886,0.0,50637.755102040814,57813.0,0.0920502092050209,34.8,0.2683523654159869,0.5367047308319739,0.1949429037520391,0.1455604075691411,0.1658163265306122,0.2525510204081632,0.0399673735725938,0.6811224489795918,0.8637137989778535,0.0579216354344122,21.83456561922366,9.94362292051756,3.017857142857143,0.847457627118644,0.7551020408163265,0.0408163265306122,0.2040816326530612,0.097063621533442,0.0314049586776859,0.9488817891373802,196200.0,1.0,0.0,-110.99123174729444,32.22073069712784,1.0
40190003001,848,451,0.3278301886792453,0.6804245283018868,0.0554245283018867,0.1308962264150943,0.320754716981132,0.4268867924528302,0.0554245283018867,0.3328313253012048,0.1707317073170731,44994.45676274945,26563.0,0.2617924528301887,37.5,0.080188679245283,0.7028301886792453,0.2169811320754717,0.050709939148073,0.0,0.1396895787139689,0.0731132075471698,0.4510869565217391,0.6923076923076923,0.0641025641025641,19.265776699029125,10.655946601941748,1.5698447893569845,0.390625,0.7915742793791574,0.2239467849223946,0.4168514412416851,0.2464622641509433,0.0367734282325029,0.7142857142857143,271600.0,0.5555555555555556,0.4444444444444444,-110.9752601090386,32.23425445065907,0.0
40190003002,584,268,0.4708904109589041,0.5958904109589042,0.0530821917808219,0.0068493150684931,0.5308219178082192,0.3972602739726027,0.0462328767123287,0.325635103926097,0.0223880597014925,56986.94029850746,45000.0,0.1986301369863013,36.9,0.2123287671232876,0.6352739726027398,0.1523972602739726,0.0,0.0820895522388059,0.126865671641791,0.1044520547945205,0.7142857142857143,0.7647058823529411,0.0,21.493174061433447,11.395904436860068,2.0858208955223883,0.6870748299319728,0.9552238805970148,0.1567164179104477,0.2686567164179104,0.0804794520547945,0.046938775510204,0.65,167600.0,0.5154639175257731,0.4845360824742268,-110.9782891536122,32.231209333203275,1.0
40190004001,1008,520,0.492063492063492,0.9047619047619048,0.0009920634920634,0.0376984126984126,0.125,0.8075396825396826,0.0009920634920634,0.625,0.0384615384615384,45168.269230769234,30806.0,0.407040704070407,23.8,0.1111111111111111,0.7847222222222222,0.1041666666666666,0.0381426202321724,0.0,0.0807692307692307,0.0613065326633165,0.3588652482269504,0.6391941391941391,0.0311355311355311,19.714828897338403,9.07842205323194,1.6692307692307693,0.06,0.6615384615384615,0.3038461538461538,0.65,0.060515873015873,0.0,0.2142857142857142,309100.0,0.0,1.0,-110.96533237365924,32.23099847539293,0.0
40190004002,1124,620,0.4884341637010676,0.8834519572953736,0.0338078291814946,0.0222419928825622,0.3051601423487544,0.6094306049822064,0.0338078291814946,0.5726256983240223,0.0258064516129032,46362.90322580645,32243.0,0.303903345724907,28.7,0.1005338078291814,0.797153024911032,0.1023131672597864,0.0511679644048943,0.0370967741935483,0.1854838709677419,0.1576086956521739,0.4702290076335877,0.5961768219832736,0.0979689366786141,21.422976501305484,11.424281984334204,1.6919354838709677,0.0,0.8741935483870968,0.1516129032258064,0.4919354838709677,0.0578291814946619,0.0071942446043165,0.4711538461538461,270100.0,1.0,0.0,-110.96686839170351,32.23596647990025,0.0
40190004003,1017,496,0.4945919370698132,0.8092428711897739,0.0580137659783677,0.0511307767944936,0.1691248770894788,0.671583087512291,0.0580137659783677,0.6556701030927835,0.0,44440.52419354839,25625.0,0.4523107177974435,24.3,0.135693215339233,0.7649950835791544,0.0993117010816125,0.0125874125874125,0.0,0.1169354838709677,0.0845624385447394,0.2857142857142857,0.5900621118012422,0.0357142857142857,15.631313131313131,10.251262626262626,1.7620967741935485,0.4857142857142857,0.9173387096774194,0.2459677419354838,0.7056451612903226,0.0688298918387414,0.0,0.3333333333333333,229800.0,0.8,0.2,-110.9662130532984,32.226901822816494,0.0
40190005001,576,0,0.6215277777777778,0.7708333333333334,0.046875,0.0815972222222222,0.1475694444444444,0.6666666666666666,0.046875,,,,,,19.1,0.7899305555555556,0.2100694444444444,0.0,0.35,,,0.1076388888888889,,0.4018691588785046,0.0,12.686915887850468,12.481308411214954,,,,,,0.0885416666666666,0.03125,0.0,,,,-110.95505648820352,32.2328932694544,
40190005002,720,426,0.4569444444444444,0.8972222222222223,0.0180555555555555,0.0236111111111111,0.2555555555555555,0.6833333333333333,0.0180555555555555,0.3775743707093821,0.0,37922.535211267605,,0.2027777777777777,28.8,0.0430555555555555,0.8513888888888889,0.1055555555555555,0.015358361774744,0.0774647887323943,0.0352112676056338,0.1291666666666666,0.7784313725490196,0.5337954939341422,0.0,19.633204633204635,11.11438223938224,1.5868544600938967,0.0,0.8309859154929577,0.3333333333333333,0.5821596244131455,0.0861111111111111,0.0,0.0,222200.0,,,-110.9486839708502,32.22394614621852,0.0
40190005003,1105,453,0.6361990950226244,0.6407239819004525,0.0217194570135746,0.0868778280542986,0.3375565610859729,0.4552036199095022,0.0217194570135746,0.4005102040816326,0.0,32113.686534216336,20545.0,0.5475113122171946,22.8,0.0488687782805429,0.8425339366515837,0.1085972850678733,0.0905707196029776,0.0,0.1589403973509933,0.1493212669683258,0.343811394891945,0.7285129604365621,0.0327421555252387,22.091690544412607,8.749283667621777,2.0838852097130243,0.0,0.8543046357615894,0.2671081677704194,0.6865342163355408,0.2561085972850678,0.069683257918552,0.0,174000.0,,,-110.95144258841962,32.22581013742552,0.0
40190005004,4391,8,0.5017080391710317,0.7030289227966294,0.0815304030972443,0.0669551355044409,0.1963106353905716,0.5898428603962651,0.0749259849692552,0.7321428571428571,0.0,55000.0,,0.0,19.1,0.8556137554087907,0.1443862445912093,0.0,0.278902677988243,0.0,0.0,0.0828968344340696,1.0,0.2843419788664745,0.0365033621517771,14.65392561983471,13.143078512396697,2.0,0.0,1.0,0.0,1.0,0.0542017763607378,0.0118424049191528,0.0,,,,-110.9495828409904,32.23010375108424,1.0
40190005006,4472,181,0.5590339892665475,0.6916368515205724,0.0677549194991055,0.0959302325581395,0.2023703041144901,0.5764758497316637,0.0585867620751341,0.8508997429305912,0.0441988950276243,46408.83977900552,18988.0,0.4884910485933504,19.4,0.6708407871198568,0.3184257602862254,0.0107334525939177,0.1415094339622641,0.0,0.3370165745856354,0.0516547406082289,0.2424242424242424,0.2647283856159143,0.0382555470543228,17.159822866344605,10.966183574879228,2.0497237569060776,0.375,0.9060773480662984,0.0386740331491712,0.4917127071823204,0.0840787119856887,0.0196779964221824,0.0073333333333333,,0.0,1.0,-110.95489581454382,32.23435025809207,0.0
