census_block_group,Total population,Households total,female_ratio,white_ratio,black_ratio,asian_ratio,Hispanic_ratio,non_Hispanic_white_ratio,non_Hispanic_black_ratio,bachelor_ratio,english_limited_ratio,average_income,median_income,poverty_ratio,median_age,population_young_ratio,population_middle_ratio,population_old_ratio,unemployed_ratio,moved_in_5_years_ratio,disability_household_ratio,no_health_insurance_ratio,single_family_ratio,driving_ratio,public_transit_ratio,average_commuting_time,leave_home_time,average_household_size,children_rate,vehicle_rate,longitude,latitude,average_income_group
421010001001,1762,1123,0.5777525539160046,0.8410896708286039,0.0788876276958002,0.0573212258796821,0.0488081725312145,0.7922814982973894,0.0788876276958002,0.8341013824884793,0.0391807658058771,96787.62243989314,103631.0,0.1282633371169126,30.0,0.0385925085130533,0.8654937570942112,0.0959137343927355,0.0,0.1211041852181656,0.1086375779162956,0.0465380249716231,0.0,0.4043145441892832,0.3430758524704245,28.073741007194243,8.539748201438849,1.4870881567230632,0.296943231441048,0.616206589492431,-75.14529862663001,39.95035345702845,3.0
421010001002,2250,1182,0.4573333333333333,0.6835555555555556,0.1604444444444444,0.1142222222222222,0.0613333333333333,0.6355555555555555,0.1604444444444444,0.7915811088295688,0.0101522842639593,125970.81218274112,103851.0,0.0715555555555555,31.0,0.0524444444444444,0.796,0.1515555555555555,0.0501529051987767,0.1505922165820643,0.0947546531302876,0.14,0.0087336244541484,0.4449452672247263,0.3251770766258854,30.01338688085676,7.811746987951807,1.6725888324873095,0.2464114832535885,0.8214890016920474,-75.1473927213491,39.95346834683719,4.0
421010002001,2563,950,0.4537651190011705,0.3218884120171674,0.0608661724541552,0.5419430355052672,0.0433086227077643,0.3203277409285993,0.0608661724541552,0.5182741116751269,0.231578947368421,81036.84210526316,50455.0,0.2837228372283722,32.4,0.1385095591104174,0.7573156457276629,0.1041747951619196,0.0763309813983322,0.0768421052631578,0.0894736842105263,0.1209520093640265,0.051899907321594,0.3113604488078541,0.2201963534361851,32.78913963328632,7.913434414668547,2.2094736842105265,0.6645962732919255,0.5294736842105263,-75.15697747076517,39.95539988710818,3.0
421010003001,942,437,0.5180467091295117,0.7866242038216561,0.0297239915074309,0.1581740976645435,0.0902335456475583,0.6963906581740976,0.0297239915074309,0.8012618296529969,0.0205949656750572,102877.57437070938,107917.0,0.075812274368231,28.4,0.113588110403397,0.8609341825902336,0.0254777070063694,0.0408719346049046,0.3203661327231121,0.0,0.0403397027600849,0.0,0.1676136363636363,0.0738636363636363,19.73444613050076,8.401745068285281,1.6361556064073226,0.2660550458715596,0.4805491990846682,-75.16756138384595,39.95671195615707,4.0
421010003002,2588,1328,0.5432766615146831,0.7724111282843895,0.0471406491499227,0.1151468315301391,0.0653013910355486,0.7202472952086554,0.0471406491499227,0.7852380952380953,0.0451807228915662,119126.50602409638,82432.0,0.1036,38.1,0.1201700154559505,0.6638330757341576,0.2159969088098918,0.0478723404255319,0.0971385542168674,0.1731927710843373,0.0202492211838006,0.0159722222222222,0.3633802816901408,0.1359154929577465,27.052352048558426,8.498103186646434,1.7537650602409638,0.4586614173228346,0.6588855421686747,-75.17605221187691,39.95772037227388,4.0
421010004011,2666,1670,0.5131282820705176,0.6020255063765941,0.1297824456114028,0.2486871717929482,0.0701425356339084,0.5408852213053263,0.1290322580645161,0.7352216748768473,0.1131736526946107,81919.1616766467,57604.0,0.2471867966991748,33.1,0.0360090022505626,0.718304576144036,0.2456864216054013,0.0588578088578088,0.0940119760479041,0.1341317365269461,0.024006001500375,0.0045708481462671,0.213125,0.2175,29.85222531293463,8.069541029207233,1.4736526946107784,0.1574803149606299,0.4365269461077844,-75.17658664000798,39.95415707117157,3.0
421010004021,1232,945,0.6079545454545454,0.935064935064935,0.0349025974025974,0.0,0.0129870129870129,0.922077922077922,0.0349025974025974,0.538966365873667,0.0148148148148148,73917.98941798942,46676.0,0.0349025974025974,66.8,0.0,0.3133116883116883,0.6866883116883117,0.0,0.0751322751322751,0.3058201058201058,0.0,0.0,0.384,0.118,18.25,8.6705,1.3047619047619048,0.0,0.5417989417989417,-75.17223832544788,39.95417859566307,3.0
421010004022,1970,1435,0.617258883248731,0.7964467005076142,0.0685279187817258,0.1263959390862944,0.0,0.7964467005076142,0.0685279187817258,0.8089343379978472,0.0341463414634146,96905.92334494772,73796.0,0.0583756345177665,41.4,0.0131979695431472,0.6898477157360406,0.2969543147208122,0.0278592375366568,0.0815331010452961,0.1289198606271777,0.0309644670050761,0.0075268817204301,0.3600305110602593,0.156369183829138,29.00122050447518,8.328112286411717,1.3519163763066202,0.0809968847352024,0.6083623693379792,-75.16812635284624,39.9531558259527,3.0
421010005001,2451,874,0.3965728274173806,0.4594043247654019,0.3472052223582211,0.1472868217054263,0.1395348837209302,0.3574051407588739,0.3329253365973072,0.3981808994441637,0.0606407322654462,64156.17848970251,40568.0,0.3962008141112618,31.2,0.0244798041615667,0.9179926560587516,0.0575275397796817,0.1219262295081967,0.1762013729977116,0.1167048054919908,0.0470027247956403,0.0063694267515923,0.160377358490566,0.2063679245283018,22.69396551724138,8.650246305418719,1.3958810068649885,0.2229729729729729,0.3112128146453089,-75.15817764047432,39.95195337753167,2.0
421010006001,1301,676,0.5180630284396618,0.7617217524980784,0.1083781706379708,0.1076095311299,0.0983858570330515,0.6840891621829363,0.1083781706379708,0.8165236051502146,0.03698224852071,93528.10650887576,71250.0,0.1557296767874632,29.0,0.1583397386625672,0.7486548808608763,0.0930053804765565,0.0647321428571428,0.2085798816568047,0.1346153846153846,0.0378250591016548,0.0,0.2702702702702703,0.1375921375921376,23.07947019867549,8.158278145695364,1.4230769230769231,0.7714285714285715,0.4748520710059172,-75.15833552218318,39.94938447380055,3.0
