placekey,racial_segregation_index,Hispanic_selfcbg,black_selfcbg,asian_selfcbg,white_selfcbg,other_selfcbg,Hispanic_dif,Hispanic_real,black_dif,black_real,asian_dif,asian_real,white_dif,white_real,other_dif,other_real
222-222@628-p6z-b8v,0.409038,0.015417,0.030835,0.0,0.953748,0.0,0.06510623137728097,0.08052323137728097,0.08024156697670443,0.11107656697670443,0.04168927862372256,0.04168927862372256,-0.2022994058862333,0.7514485941137667,0.015262275320177708,0.015262275320177708
222-222@628-p74-wtv,0.32617,0.134412,0.082336,0.008445,0.715693,0.059113,-0.013291123300543176,0.12112087669945683,0.058124408696420396,0.1404604086964204,0.03665790029898897,0.045102900298988974,-0.04503250474697984,0.6706604952530202,-0.036457913072209164,0.022655086927790835
222-222@628-p77-2hq,0.277529,0.177033,0.668489,0.016063,0.130212,0.008202,-0.09270350563496262,0.08432949436503738,-0.43364778625226,0.23484121374773997,0.028035191623080748,0.04409819162308075,0.493028238270944,0.623240238270944,0.005288901652731735,0.013490901652731735
222-222@628-p7b-hnq,0.335369,0.11136,0.002242,0.0,0.886398,0.0,0.002932583568762734,0.11429258356876273,0.13965877108312508,0.14190077108312507,0.04886649101375905,0.04886649101375905,-0.20676948105933102,0.679628518940669,0.0153116188119514,0.0153116188119514
222-222@628-p7b-rc5,0.085484,0.147898,0.214715,0.146021,0.464715,0.026652,-0.0002733397517773184,0.14762466024822268,0.14965233777798342,0.3643673377779834,-0.10918302720145219,0.03683797279854782,-0.03988388528604675,0.42483111471395324,-0.00031317466118388135,0.026338825338816117
222-222@628-p7c-389,0.358998,0.033685,0.100649,0.030438,0.828328,0.006899,0.06149626622130624,0.09518126622130624,0.03512154366270119,0.1357705436627012,0.02093826887590748,0.05137626887590748,-0.1256634427377603,0.7026645572622396,0.008108357622048187,0.015007357622048186
222-222@628-p7v-nqz,0.236888,0.0,0.14719,0.074933,0.61909,0.158787,0.14839849381662837,0.14839849381662837,0.037389659382479457,0.18457965938247944,0.034543840899362424,0.10947684089936242,-0.11161272224812069,0.5074772777518793,-0.10871924850008644,0.05006775149991358
222-222@628-p7w-pqf,0.149197,0.090203,0.044205,0.100358,0.768817,-0.003584,0.08899237369503024,0.17919537369503025,0.22586455051449467,0.27006955051449466,-0.02190319737997677,0.07845480262002323,-0.32247318016153337,0.4463438198384666,0.029520403848648083,0.025936403848648083
222-222@628-p7w-py9,0.20442,0.076754,0.14364,0.104167,0.594298,0.08114,0.08580773829317244,0.16256173829317244,0.07259353905415028,0.21623353905415027,-0.018146157434245636,0.08602084256575436,-0.0859735043427271,0.5083244956572729,-0.054280660924162116,0.02685933907583789
222-222@628-p7x-5vf,0.165734,0.380141,0.089323,0.31533,0.153303,0.061903,-0.21197312834487286,0.16816787165512714,0.16462478068729475,0.25394778068729473,-0.18953286589301174,0.12579713410698826,0.2690317575443181,0.42233475754431804,-0.032150543110018706,0.029752456889981297
222-222@628-p7x-6ff,0.136076,0.169895,0.134896,0.362895,0.332314,0.0,0.009562776459155292,0.17945777645915528,0.1479654547795183,0.2828614547795183,-0.2477542147735106,0.11514078522648943,0.06204374981209049,0.3943577498120905,0.02818219654154368,0.02818219654154368
222-222@628-p7x-h3q,0.151928,0.158127,0.217314,0.015018,0.609541,0.0,0.027035458197813333,0.18516245819781332,0.05104079833858444,0.26835479833858444,0.07008688878042228,0.08510488878042229,-0.17231587807148407,0.4372251219285159,0.02415279311482967,0.02415279311482967
222-222@628-p7x-t9z,0.20762,0.087749,0.303134,0.249573,0.353276,0.006268,0.06822781670910608,0.15597681670910607,-0.09002095049848885,0.21311304950151116,-0.13006776899201022,0.11950523100798975,0.12591500159011976,0.47919100159011974,0.02594591448896034,0.03221391448896034
222-222@628-p7x-w49,0.158613,0.087749,0.303134,0.249573,0.353276,0.006268,0.09671233928484221,0.1844613392848422,-0.04224399097042186,0.26089000902957815,-0.15975181374918204,0.08982118625081795,0.08455628211168836,0.43783228211168834,0.02072718697729186,0.02699518697729186
222-222@628-p7z-789,0.14683,0.063532,0.388818,0.048285,0.436256,0.063109,0.11449196848405788,0.17802396848405788,-0.11644048029600945,0.27237751970399054,0.03258035605288268,0.08086535605288268,-0.0015241932776237088,0.43473180672237627,-0.029107796954259878,0.03400120304574012
222-222@628-p7z-7kf,0.093408,0.0,0.14719,0.074933,0.61909,0.158787,0.16837124595513162,0.16837124595513162,0.1772691015344371,0.3244591015344371,0.00170060759473796,0.07663360759473796,-0.2211055882337316,0.3979844117662684,-0.12623546611357145,0.03255153388642856
222-222@628-p82-6tv,0.071567,0.588424,0.20418,0.0,0.207395,0.0,-0.39009901040339107,0.19832498959660888,0.1492279793815374,0.3534079793815374,0.07615264900168926,0.07615264900168926,0.13762533313640074,0.34502033313640074,0.027093968822367254,0.027093968822367254
222-222@628-p82-8y9,0.14987,0.041211,0.824855,0.0,0.133934,0.0,0.1480831559811651,0.18929415598116509,-0.3148403198443904,0.5100146801556096,0.0461616501303601,0.0461616501303601,0.09690142683392261,0.2308354268339226,0.023694059939338947,0.023694059939338947
222-222@628-p84-28v,0.35535,0.090435,0.149565,0.054493,0.705507,0.0,-0.014770182964468345,0.07566481703553166,-0.018459596483682672,0.13110540351631733,0.053108699144663735,0.10760169914466373,-0.053703484515529976,0.65180351548447,0.03382458251357331,0.03382458251357331
222-222@628-p85-94v,0.230627,0.062286,0.114305,0.119781,0.703628,0.0,0.08363342417917782,0.14591942417917783,0.07660999250133176,0.19091499250133176,-0.030453164116194628,0.08932783588380537,-0.1546598431055929,0.5489681568944071,0.02486962246879426,0.02486962246879426
222-222@628-p86-6kz,0.22762,0.034234,0.053153,0.0,0.912613,0.0,0.07602404546424835,0.11025804546424835,0.16948401609966857,0.22263701609966857,0.07618273846727924,0.07618273846727924,-0.34519074561523977,0.5674222543847602,0.023499932972821595,0.023499932972821595
222-222@628-p86-h5z,0.348517,0.086924,0.094482,0.046863,0.771731,0.0,-0.009840505604939848,0.07708349439506015,0.04207263508502447,0.13655463508502447,0.029819077035853847,0.07668207703585385,-0.08694543828455814,0.6847855617154418,0.02489430968325253,0.02489430968325253
222-222@628-p8d-975,0.078548,0.364865,0.426031,0.043385,0.158606,0.007112,-0.15060925368429753,0.21425574631570246,-0.06978355217629822,0.35624744782370177,0.016497829514359505,0.059882829514359505,0.19209502700025347,0.35070102700025346,0.01180089310042855,0.01891289310042855
