,placekey,location_name,top_category,naics_code,poi_cbg
9035,22p-222@628-pgf-fvf,St James Pentecostal Church,Religious Organizations,813110,421010087021.0
9036,22p-222@628-pj7-3h5,El Balconcito,Restaurants and Other Eating Places,722511,421010291001.0
9037,22p-225@628-pj8-3h5,Prestige Auto Sales,Automobile Dealers,441120,421010291004.0
9038,22s-222@63s-dvx-f2k,The Head Game,Personal Care Services,81211,421010103001.0
9039,22s-223@628-pnx-d35,Thomas',Restaurants and Other Eating Places,722511,421010158003.0
9040,22t-222@628-pnx-bzf,Fish Town Beverage Center,"Beer, Wine, and Liquor Stores",445310,421010158005.0
9041,22x-222@628-pfy-yy9,Pilgrim Church,Religious Organizations,813110,421010209004.0
9042,22x-222@628-pmf-kcq,Stotesbury Mansion,Special Food Services,722320,421010007002.0
9043,22y-222@628-pp4-qj9,Sheridan HVAC,Building Equipment Contractors,2382,421010160003.0
9044,22z-222@628-pjg-6p9,Lackman Jay DMD,Offices of Dentists,621210,421010385001.0
9045,22z-223@63s-dvr-dd9,Sonia's Kitchen,Restaurants and Other Eating Places,722511,421010067004.0
9046,235-222@63s-dvx-jd9,Stoagies Steaks & Hoagies,Restaurants and Other Eating Places,722511,421010111005.0
9047,236-222@63s-dvy-5xq,The Gold Standard Cafe,Restaurants and Other Eating Places,722513,421010078004.0
9048,237-222@628-pj3-kxq,Goodwill Community Pharmacy,Health and Personal Care Stores,446110,421010242004.0
9049,237-223@628-p8h-5fz,Gear Heads Automotive And Parts,Automotive Repair and Maintenance,8111,421010381002.0
9050,23c-222@628-pj8-h89,Neighborhood Combination Store,Grocery Stores,445110,421010301001.0
9051,23f-222@628-pj5-skf,Dejesus Rafael Beauty Salon,Personal Care Services,81211,421010197004.0
9052,23n-222@628-p8d-yn5,Joe's Market,Grocery Stores,445110,421010299003.0
9053,23q-222@628-pm4-75z,16th Street Seafood,Restaurants and Other Eating Places,722511,421010030015.0
9054,23r-222@628-pm3-v4v,LabCorp,Medical and Diagnostic Laboratories,621511,421010029001.0
9055,23z-222@628-pm4-pjv,Market on Ninth,Specialty Food Stores,445220,421010024003.0
9056,24b-222@628-pmd-rtv,The Lab By Aaron Bonser,Other Amusement and Recreation Industries,713940,421010012012.0
9057,24g-222@628-pj5-t9z,KFC,Restaurants and Other Eating Places,722513,421010383003.0
9058,24j-222@628-pnz-yd9,Port Richmond Pour House,Drinking Places (Alcoholic Beverages),722410,421010179004.0
9059,24w-222@63s-dvw-j5f,Festivals Caribbean Bar and Restaurant,Drinking Places (Alcoholic Beverages),722410,421010085006.0
9060,25k-222@628-pmb-c3q,Foodery,Restaurants and Other Eating Places,722513,421010011022.0
9061,zzw-222@628-p7b-ysq,Fairmount Drainage Right Of Way,"Museums, Historical Sites, and Similar Institutions",712190,421010348012.0
9062,zzw-222@628-p8f-bkz,Philadelphia Yearly Meeting Of Friends,Religious Organizations,813110,421010294003.0
9063,zzw-222@628-p8m-cwk,Lobianco Michael A DO,Offices of Physicians,621111,421010319002.0
9064,zzw-222@628-p8n-c3q,KFC,Restaurants and Other Eating Places,722513,421010316007.0
9065,zzw-222@628-p9q-hqz,DaVita,Outpatient Care Centers,621492,421010346001.0
9066,zzw-222@628-pg3-x5z,AutoZone,"Automotive Parts, Accessories, and Tire Stores",441310,421010246003.0
9067,zzw-222@628-pgh-389,Gospel Light Tabernacle Inc,Religious Organizations,813110,421010201011.0
9068,zzw-222@628-phy-brk,VFM Investments,Other Financial Investment Activities,523930,421010383001.0
