census_block_group,Total population,Households total,female_ratio,white_ratio,black_ratio,asian_ratio,Hispanic_ratio,non_Hispanic_white_ratio,non_Hispanic_black_ratio,bachelor_ratio,english_limited_ratio,average_income,median_income,poverty_ratio,median_age,population_young_ratio,population_middle_ratio,population_old_ratio,unemployed_ratio,public_assistance_ratio,disability_household_ratio,no_health_insurance_ratio,single_family_ratio,driving_ratio,public_transit_ratio,average_commuting_time,leave_home_time,average_household_size,children_rate,vehicle_rate,moved_in_5_years_ratio,moved_in_10_years_ratio,foreign_born_ratio,english_limited_population_ratio,enrollment_rate,housing_value,non_couple_parent_children,couple_parent_children,longitude,latitude,average_income_group
120570001011,3096,1195,0.4880490956072351,0.5578165374677002,0.2480620155038759,0.1208010335917312,0.2700258397932816,0.3688630490956072,0.2131782945736434,0.2921810699588477,0.0393305439330543,46171.54811715481,33223.0,0.4194073591663953,23.8,0.1747416020671834,0.7241602067183462,0.1010981912144702,0.1013473930872876,0.0,0.1665271966527196,0.1143410852713178,0.1651785714285714,0.8305084745762712,0.0619295958279009,28.643241425689308,9.608944182918629,2.205020920502092,0.6632443531827515,0.8887029288702929,0.306276150627615,0.6259414225941422,0.1954134366925064,0.0462466487935656,0.5689277899343544,158600.0,0.5621621621621622,0.4378378378378378,-82.41323450728568,28.049611952928068,0.0
120570001012,1318,505,0.4878603945371775,0.4954476479514416,0.2799696509863429,0.0660091047040971,0.255690440060698,0.3755690440060698,0.2799696509863429,0.1577574967405476,0.1108910891089108,49698.0198019802,35368.0,0.1284552845528455,34.4,0.3012139605462822,0.5379362670713201,0.1608497723823975,0.0086083213773314,0.0138613861386138,0.1881188118811881,0.0910470409711684,0.7485148514851485,0.8017366136034733,0.0,31.64371772805508,9.649311531841652,2.205940594059406,0.9735973597359736,0.9366336633663366,0.1425742574257425,0.1900990099009901,0.1760242792109256,0.1161495624502784,0.684971098265896,146900.0,0.5524475524475525,0.4475524475524475,-82.40375526583802,28.04538523465112,0.0
120570001021,787,390,0.5374841168996188,0.576874205844981,0.423125794155019,0.0,0.326556543837357,0.2503176620076239,0.423125794155019,0.1448412698412698,0.0384615384615384,43275.64102564102,45208.0,0.144853875476493,38.7,0.301143583227446,0.5285895806861499,0.170266836086404,0.1252566735112936,0.0769230769230769,0.2384615384615384,0.096569250317662,0.6794871794871795,0.8732394366197183,0.0,33.39381720430107,10.991935483870968,1.8948717948717948,1.5095541401273886,0.8692307692307693,0.0,0.2153846153846154,0.2109275730622617,0.0208333333333333,0.7932489451476793,136200.0,0.3700787401574803,0.6299212598425197,-82.41806556085854,28.03808283358156,0.0
120570001022,1798,525,0.5745272525027809,0.5139043381535039,0.3648498331479421,0.0,0.3314794215795328,0.3987764182424916,0.2547274749721913,0.1359060402684563,0.0666666666666666,52938.09523809524,39566.0,0.2810111699000588,36.8,0.2480533926585094,0.5767519466073415,0.175194660734149,0.1500524658971668,0.0304761904761904,0.1523809523809524,0.0934371523915461,0.8747795414462081,0.9571428571428572,0.0025974025974025,27.576462765957448,9.663563829787234,2.857142857142857,0.6009070294784581,0.9314285714285714,0.0323809523809523,0.1771428571428571,0.210789766407119,0.1307311028500619,1.0,124700.0,0.562874251497006,0.437125748502994,-82.40732124089624,28.03972455147412,1.0
120570001023,978,460,0.6993865030674846,0.3926380368098159,0.4815950920245399,0.0184049079754601,0.2300613496932515,0.3374233128834356,0.4130879345603272,0.1001451378809869,0.1478260869565217,26130.434782608696,13958.0,0.2949117341640706,58.0,0.2955010224948875,0.2586912065439672,0.4458077709611452,0.32,0.0,0.5152173913043478,0.0664589823468328,0.3847826086956522,0.8058823529411765,0.0,28.149350649350648,8.866883116883116,1.9021739130434785,1.5135135135135136,0.508695652173913,0.067391304347826,0.3021739130434782,0.1319018404907975,0.0617154811715481,1.0,,0.7350427350427351,0.2649572649572649,-82.40160857298528,28.040065814445995,0.0
120570001024,2874,1109,0.4919972164231037,0.3723034098816979,0.5139178844815588,0.0932498260264439,0.3315935977731384,0.1256089074460682,0.4495476687543493,0.1575466025255562,0.1379621280432822,30550.04508566276,22038.0,0.4338900487125957,27.1,0.302018093249826,0.5897703549060542,0.1082115518441197,0.2029090909090909,0.0910730387736699,0.3291253381424707,0.1673625608907446,0.0831918505942275,0.9130019120458892,0.0334608030592734,32.38131313131313,9.397979797979795,2.2407574391343554,1.161228406909789,0.7826871055004508,0.254283137962128,0.4824165915238954,0.1635351426583159,0.1185524126455906,0.5761047463175123,186100.0,0.9503916449086162,0.0496083550913838,-82.40229028802628,28.03501951665857,0.0
120570002011,2146,949,0.5246971109040075,0.1808014911463187,0.6780055917986952,0.0046598322460391,0.3098788443616029,0.0843429636533084,0.592264678471575,0.0622317596566523,0.1359325605900948,27831.928345626977,20961.0,0.5563380281690141,29.3,0.2162162162162162,0.6258154706430569,0.1579683131407269,0.2530864197530864,0.0,0.3435194942044257,0.2763280521901211,0.1746835443037974,0.7235079171741778,0.1023142509135201,29.800632911392405,9.821518987341772,1.9188619599578505,0.8703170028818443,0.6817702845100105,0.2244467860906217,0.4594309799789252,0.1383970177073625,0.0880372863801139,0.7904191616766467,122900.0,0.9290322580645162,0.0709677419354838,-82.44703387543017,28.050883902327588,0.0
120570002012,1518,499,0.4749670619235837,0.3181818181818182,0.6429512516469038,0.0,0.1212121212121212,0.2358366271409749,0.6429512516469038,0.0172064777327935,0.1342685370741483,36047.09418837675,25515.0,0.1732542819499341,31.6,0.2154150197628458,0.6429512516469038,0.1416337285902503,0.0721153846153846,0.0160320641282565,0.3466933867735471,0.2048748353096179,0.3867735470941884,0.7901554404145078,0.0816062176165803,31.918132611637347,7.162381596752368,2.278557114228457,0.5654008438818565,0.8276553106212425,0.0721442885771543,0.3547094188376753,0.2509881422924901,0.0889183808891838,0.8287461773700305,134700.0,1.0,0.0,-82.44699749684833,28.04540910253948,0.0
120570002021,1359,417,0.5003679175864606,0.3855776306107432,0.5393671817512877,0.0073583517292126,0.445916114790287,0.0986019131714495,0.4245768947755702,0.1171171171171171,0.0839328537170263,46067.14628297362,36319.0,0.2259013980868285,35.8,0.3259749816041207,0.5018395879323032,0.1721854304635761,0.0643382352941176,0.0,0.4820143884892086,0.0220750551876379,0.9493087557603688,0.8926441351888668,0.0,29.050976138828634,10.15238611713666,2.77937649880096,1.4,0.9664268585131894,0.0695443645083932,0.2278177458033573,0.0515084621044885,0.0329847144006436,0.8447837150127226,99400.0,0.6268656716417911,0.373134328358209,-82.43870422783567,28.04905416866681,0.0
120570002022,2590,976,0.6320463320463321,0.4308880308880309,0.5339768339768339,0.0069498069498069,0.3185328185328185,0.1401544401544401,0.5216216216216216,0.0770128354725787,0.1936475409836065,31129.610655737702,24651.0,0.3984555984555984,31.1,0.2841698841698841,0.5752895752895753,0.1405405405405405,0.1742881794650561,0.0215163934426229,0.3719262295081967,0.1312741312741312,0.434699714013346,0.786833855799373,0.0940438871473354,22.876315789473683,10.580789473684211,2.2254098360655736,1.036480686695279,0.7305327868852459,0.2540983606557377,0.4959016393442623,0.2247104247104247,0.1139294926913155,0.8842281879194631,89300.0,0.902621722846442,0.097378277153558,-82.43036435042968,28.05085491250356,0.0
