placekey,latitude,longitude
224-222@8dj-f93-73q,27.995565000000003,-82.407782
224-222@8dj-jz5-4vz,28.002564000000003,-82.526847
224-222@8dj-mpp-9j9,27.978854,-82.365959
224-223@8dj-jv9-xh5,27.945124,-82.514374
225-222@8dj-f7h-jqf,28.033055,-82.42655699999999
225-222@8dj-f8f-2hq,27.978035,-82.48514300000001
226-222@8dj-f6m-mhq,28.025517,-82.46312900000001
226-222@8dj-jw2-qcq,27.947363,-82.472378
226-222@8dj-jwb-5fz,27.940949,-82.491495
226-222@8dj-mr4-zzz,27.96044,-82.421585
226-222@8dj-mr5-8jv,27.942079,-82.435002
226-223@8dj-ffx-nyv,28.130154,-82.365154
227-222@8dj-f8c-td9,27.990918,-82.516297
227-222@8dj-f8f-7qz,27.985808,-82.48912299999999
227-222@8dj-jw6-zxq,27.961534000000004,-82.457317
227-223@8dj-jv9-6rk,27.951863,-82.507483
228-222@8dj-f7g-xwk,28.00731,-82.414517
228-222@8dj-jts-ysq,27.913626,-82.526364
228-222@8dj-jw4-gc5,27.957066,-82.499137
229-222@8dj-jtt-bp9,27.920144,-82.51682
22c-222@8dj-ffq-hbk,28.146017,-82.35482900000001
22f-222@8dj-fgk-gff,28.137214,-82.29558399999999
22f-222@8dj-jv3-yd9,27.871813,-82.493806
22g-222@8dj-f8y-4y9,27.996379,-82.444136
22j-222@8dj-f8f-7qz,27.985786,-82.489287
22j-222@8dj-jts-fzz,27.88482,-82.50689100000001
22r-222@8dj-jw2-tqf,27.935582,-82.476187
22s-224@8dj-jw2-3wk,27.941506,-82.469325
23b-222@8dj-mr4-qj9,27.959328000000003,-82.43661
zzw-222@8dj-f84-wff,27.99548,-82.508155
zzw-222@8dj-f97-d7q,27.988657,-82.459283
zzw-222@8dj-jv2-835,27.894386,-82.525634
zzw-222@8dj-jv6-ks5,27.949132,-82.524484
zzw-222@8dj-mr4-h3q,27.956803000000004,-82.42879
zzw-222@8dj-mr5-fxq,27.949712,-82.43780699999999
zzw-223@8dj-f7w-hkf,28.068489000000003,-82.427991
zzw-223@8dj-jv6-n3q,27.944461,-82.52784399999999
zzw-223@8dj-mpn-9j9,27.986836,-82.39733199999999
zzw-223@8dj-mr8-3yv,27.964676,-82.399819
zzw-224@8dj-jvc-rff,27.958539,-82.52460699999999
zzw-224@8dj-jw2-hh5,27.937701,-82.46620300000001
zzw-224@8dj-jw6-3wk,27.945718,-82.456551
zzw-225@8dj-f7f-q9f,28.05384,-82.39834
zzw-225@8dj-ffx-r6k,28.129331,-82.366153
zzw-227@8dj-f7f-q9f,28.053826,-82.39887399999999
zzy-222@8dj-f8x-yjv,28.036452,-82.441822
zzy-222@8dj-jv6-v4v,27.950487,-82.525438
zzy-222@8dj-jvj-8d9,27.926040000000004,-82.515169
zzy-223@8dj-f8f-wkz,27.981027,-82.489841
zzy-224@8dj-f8y-r8v,27.981759000000004,-82.442665
zzz-222@8dj-f8z-m49,28.017775,-82.458974
zzz-222@8dj-jwm-td9,27.866492,-82.526752
222-222@8dj-dzd-xqz,28.188275,-82.293736
222-222@8dj-f7h-jjv,28.032840000000004,-82.427807
222-222@8dj-f7h-wzf,28.032243,-82.418929
222-222@8dj-f86-bkz,28.001272,-82.524946
222-222@8dj-f86-mx5,28.003273,-82.50767900000001
222-222@8dj-f96-hnq,27.974322,-82.442759
222-222@8dj-f99-rzf,27.977673,-82.434508
222-222@8dj-jvc-g8v,27.957719,-82.533395
222-222@8dj-jw4-s5z,27.947559,-82.48277399999999
222-222@8dj-mqf-y7q,27.964718,-82.33476999999999
222-222@8dj-mr7-dd9,27.960015,-82.407434
222-223@8dj-f6q-fmk,28.031678000000003,-82.452649
222-223@8dj-f87-jgk,28.010878,-82.474474
222-223@8dj-jtr-7yv,27.894907,-82.509889
222-223@8dj-mp4-swk,27.948355,-82.342394
222-223@8dj-mr8-nwk,27.948185,-82.401188
222-224@8dj-jtr-73q,27.894197,-82.506863
222-22d@8dj-f7k-89z,28.033982,-82.395328
223-222@8dj-f79-8n5,28.032216,-82.399783
223-222@8dj-jtv-ygk,27.893234000000003,-82.49284300000001
223-222@8dj-jvb-9xq,27.943655,-82.50542800000001
224-222@8dj-f7h-nwk,28.032928,-82.43127199999999
224-222@8dj-f7j-7kf,28.040609000000003,-82.42666700000001
224-222@8dj-f98-fzz,27.979245,-82.459622
224-222@8dj-jw2-gkz,27.944911,-82.464013
